Vocab_range,CEFR_level,Years_studying_L2,L1,Domain_of_specialization,Stay_duration_weeks,Stay_frequency,Language_exposure,L2,Dialang_writing_score,Reading_frequency,Other_language,Student_text,Reinforced_section
B2,B1,8.0,French,Medicine,4.0,1,1.0,Anglais,B2,weekly,,"The Artificial Intelligence (AI) improves the diagnosis of cancers and the medicine has understood it, in the image of the Parisian Hospital of Pitier-Salpêtrière, which quickly adopted iBiopsy.
This artificial intelligence platform revolutionizes the treatment of pathologies, including liver cancer. Medical imaging methods combined with deep learning and big data analytics help to better extract biomarkers from the progression of the disease.
The plateforme Big data  IBiopsy increase the proditive value of targeted therapy and strengthen the high precision médicine.
The objective of this AI is to improve the patient's diagnosis and the care of his cancer.
 I think it's a great advance for the research of cancer.
Moreover, Artificial intelligence will make it possible to switch to a more preventive médicine.",0
A2,A2,11.0,French,Pharmacy,0.0,0,2.0,Anglais,A2,never,,"For me, the biggest discovery is the role of penicilline. So, I want to talk about the principal antibiotic. Alex Dupont had gave an accidentally contact between a mushroom and bacteria.
 It's the creation of antibiotics. But today, there are many resistances about antibiotics.",0
C1,B2,12.0,French,Life_and_environmental_sciences,2.0,3,0.0,Anglais,A2,never,,"since few  (2years)I have been studying in plant breeding what fascinates me the most is the introduction of biotechnologies to give the plant new traits of resistance to diseases .With QTLs, it becomes possible for each individual to associate a value to a chromosome segment based on the genetic value of the QTL. Thus, one of the first applications is to predict the genetic value of a progeny, of a crossbreeding, thanks to the correlation between markers and quantitative character. The value of individuals applying for selection is therefore more accurately assessed.Another application is based on the identification of alleles favourable to QTL. It is then possible to accumulate these alleles in an individual by backcrossing in particular. This is called genotype construction.
A better knowledge of the modes of action of QTLs, i.e. the identification of stages of the infectious cycle on which they act, make it possible to optimize the strategies of combination and deployment of resistance locus to increase resistance levels resistance in plants and   to preserve the effectiveness of resistance by limiting adaptation pathogenic populations
Moreover thanks to this practise we can improve the quality of fruits at differents steps on flavor ,taste, and texture
 Concerning inconvenients it's difficult to have acces at the practise considering the cost of developpement who is important , but also there are overestimated effects(stability qtl).But for me it's a progress for the agriculture today because many fruits don't have the quality consumers expect.",0
B1,B1,10.0,French,Computer_science_and_electronics,0.0,0,2.0,Anglais,B1,daily,,"For me, the autonomous car is a technology that I want to work on. I want to understand how that car can drive without a conductor. Many elements in that car seem interesting :
We have sensor which allow safety to the conductor. All the data take by sensor need to be treat by an powerfull computer. That computer realises a 3D map which allows to avoid possible gap in the road and executs a program that permorfs the driving of the vehicule.
 It's a good innovation because it can reduce the risks related to driving a car. The first reason of a driving accident is due to a human error. And that car take off this risk.",0
C1,C1,7.0,French,Information_and_communication,0.0,0,2.0,Anglais,B2,,,"<b>
</b>
Today, mass media are everywhere around us, we can’t escape from them. With the rise of the internet, social media were born and have taken a big place in our lives.
Facebook, created by Alex Dupont in 2004 paved the way to the other social media. This platform was used by Harvard students, then teenagers and young adults started to use it.
Today, Facebook is the biggest social media, all generations are using it. Now, several other social media have been created : Twitter, Snapchat, Instagram, Tik Tok...
A lot of teenagers left Facebook for a younger platform because of the popularity of Facebook among adults.
 <b>
</b>
I think social networks are a great creation, however there are some side effects. First of all, this is very addictive and we can’t stay away from them. Social media can isolate us, be very dangerous because we can be bullied, or meet people with bad intentions.
Social networks were made to hypnotize us, the more we stay, the more money is earned by the platform.
Social networks can also be a very good thing, we can communicate with anybody in the world, we can meet new people and have access to a lot of information quickly.
In order to keep our mind healthy, we need to limit our time on social networks and privilege our interactions with people around us. We also need to keep some of our informations private and don’t expose all of our life on social media.",0
B2,B2,11.0,French,Material_sciences,0.0,2,6.0,Anglais,B2,weekly,,"Maritime transport takes a huge place in the international market and globalization. That is why, industry of boats has increased a lot these last decades. Many engineers work in order to improve the performance of cargoes. The problem that they had to solve was because of the contact between steel, sea and oxygen, it creates oxidation. They created an anode, made of zinc, which protects the steel. So, the question is: How this anode does it work?
 	First of all, we have to have a look on the reactions. Steel is commonly named with its atomic symbol: Fe. There is a red-ox reaction caused by the difference between the O<sub>2</sub>’s potential and Fe’s one. In that way, we have: Fe → Fe<sup>2+ </sup>+ e<sup>- </sup> and O<sub>2 </sub>+ H<sup>+</sup> + 4e<sup>-</sup> → 2H<sub>2</sub>O.
 Steel is not still steel. It becomes ions. With O2, it is transformed in Fe(OH)2, a red oxide.
 	Then, the fact that sea water is salted, there are the ions: Na+ and Cl-. They increase conduction and the share of electrons. Therefor, oxidation of Fe becomes more important.
 So, it was necessary to find a way to reduce or stop this corrosion.
 	We have seen that scientists invented the anode made of zinc. How does it protect our steel?
 Zinc (Zn) has a smaller electric potential than Fe. Indeed, in red-ox, the oxidant “attacks” the reduction which has the most negative potential. Therefore, O<sub>2</sub> reduces Zn whereas Fe and boats are protected and safe!
 	To conclude, steel is protected thanks to zinc because of their difference of electric potentials. On order to avoid corrosion, a piece of zinc is melted on the steel.
<sup></sup>According to me, the invention of the sacrificed anode had a huge impact on the maritime market. Their life-during increased, their maintenance price decreased. It favours globalization.
 Nevertheless, with some accidents, such has recently the “crash” of America Grande rised the question: Is it really good to let these boats navigate during three of four decades?",1
B2,B1,10.0,French,Information_and_communication,0.0,0,0.0,Anglais,A2,never,Spanish,"Discovering social media like Intagram for example, is a step forward very importante in the world. Now, the people can tchat between us freely. Everyone can post her life and share it with other. The communication grows bigger thanks to these new applications.
Communication has become a business, stars like Alex Dupont, use these platforms to communicate with their fans and expand their business for give money. Social media is a platform of communication, this new technology makes it possible to discover a new concept of communication.

 I think social media has its limits. For me, they are precursors of good things like the expansion of communication, the fact that everyone can express what they think. They develops freedom of expression. But this experience unfortunately has negative bridges. On the social networks, many people are victims of harassment. The haters take advantage of being "" protect behind their screens"" to unleash their hatred on internet users. This has dramatic consequences for individuals who fall into depression or, in the most critical case, end their lives.",1
B1,B1,12.0,French,Life_and_environmental_sciences,0.0,0,2.0,Anglais,B1,monthly,,"In biotechnology, Agrobacterium tumefaciens is a bacteria that represent one of the biggest improvement on the last 70 years. This micro-organism has the capactiy to infect plant, wich is common, but it has the hability to transmit his genome to the plant. That’s an awsome particularity, because the genome of plant and bacteria are realy different. Bacteria are prokaryot, and are based on a circular genom call a plasmid. And plants are eukaryot, with a linear genome. There is a lot of specifity about the fonctionement of this two genome.
  Agrobacterium is commonly used to transfert genes from bacteria to plant. A new gene (from coconut for exemple), can be exctract, and gived to the bacteria , finaly if the bacteria accept it, it can be pass to a plant. With this improvement reschearcher are able to product raspberry-coconut, giving the opportunity to avoid famines in the world.
 For my part, expirments on Agrobacterium are fantastic, but it have to be realy controled.
 In fact, it give human the ability to recreate plant. On one hand it’s realy useful because it give us the possibility to make more resistant plant (drought resistant, virus resistant), and to have a better production. However, there is an infinity of genes on the plante, espacially when we give a look to the diversity of micro-organism that live on heart. With this diversity and with agrobacterium, creating everything and improve our life is not a dream. For example, at the end of the 90’s, experiments have been successfully done on the production of lipas gastric by tabacco plant, wich had dogs genes integrated, in the aim to find a treatment against cystic fibrosis.
 On the other hand, playing with game is not a game that human have mastered. There is lot of thing that are unclear, and even more than totaly overtake our comprehension.
 For exemple genes flows aren’t totaly under control, because we are making genetically modified plant wich, at the moment of the reproduction are spreading genes every where.
 For me the game don’t worth the risk.",0
B1,B1,12.0,Turkish,Material_sciences,0.0,0,0.0,Anglais,B2,daily,,"I will explain you my last practical work. It deals with photoelectronical effect, which verified the law and the quantification of radiation.
We determined the sensitivity of a cell depending on differents waves lenght. The curve of the experience shows a straight line so we deduced that the sensitivity of the cell is proportional to the wave lenght. But the problem is that the efficiency is not so high. We remade this experiment with a fixed wave but differents voltages. We notice that we had now a straight line too but it is inversely proportional.
Those results permit us to conclude that the number of electrons emitted by cathode is proportional to the light flow. And the kinetic energy of photoelectrons is independent of the light flow. It depends only on exciting radiation's frequency.
 The efficiency is too low to be used but it is just for this material. The maximal efficiency we have is around 40% to 50% which is not enough. So we have to continue our seek on this topic until we find a performance around 80%.",1
B2,B1,9.0,French,Sports,0.0,0,2.0,Anglais,B1,,,"Freeline skate il a new extreme sport. He was invented by Alex Dupont in Paris, in Paris but it is much more popular in Asia. It beginning to develop in Europe and in Paris few years ago. It is practiced with two little plank of wood, smaller that a foot, and connected with two wheels for each foot. The planks are not fixed at feets so we can manipulate them like we want, we can take one with a hand or totally remove to do some figures. The objective is to do the figures the most complicates and impresives or go as fast as possible. It is practiced in the street, where the floor is plane and the espace is suffisant for do figures and go as fast as possible or in skateparks. It can be dangerous because it's hard to controllate, we need a lot of experience to learn to keep our balance and realize some basic figures, I think it's harder than skateboard or longboard because the balance is much complicate due to the two parts and the size of the skate.
 The injuries who we can see are commotions, bruises, contusion, broken bones or muscle injuries because we can easly fall in a bad position. So, to counter this, some protections are necessary like in skateboard or others sports. Helmet, knee and elbow protections are obligatory and others like chestplate, boots and tibia protections can be good for a full protection. Moreover some active streching and muscular training can be good before practicing to avoid the muscular injuries. The benfits of freeline skate are a developement of creativity, moticity and can give some freedom. Also, it can learn some moral values like ""Never give up"" or ""Always get up after falling"".",0
