,name,y_true,y_pred
0,GCN,2,1
1,GCN,4,1
2,GCN,2,2
3,GCN,2,1
4,GCN,2,1
5,GCN,1,1
6,GCN,2,1
7,GCN,0,1
8,GCN,1,1
9,GCN,2,1
10,GCN,1,1
11,GCN,1,1
12,GCN,2,1
13,GCN,2,2
14,GCN,1,1
15,GCN,2,1
16,GCN,3,1
17,GCN,1,1
18,GCN,3,1
19,GCN,2,1
20,GCN,2,1
21,GCN,2,1
22,GCN,1,1
23,GCN,1,1
24,GCN,1,1
25,GCN,1,1
26,GCN,2,2
27,GCN,2,1
28,GCN,3,1
29,GCN,3,1
30,GCN,1,1
31,GCN,1,1
32,GCN,1,1
33,GCN,5,1
34,GCN,4,1
35,GCN,1,1
36,GCN,1,1
37,GCN,2,1
38,GCN,4,1
39,GCN,2,1
40,GCN,5,1
41,GCN,4,1
42,GCN,1,1
43,GCN,2,1
44,GCN,3,1
45,GCN,2,1
46,GCN,0,1
47,GCN,2,1
48,GCN,1,1
49,GCN,0,1
50,GCN,3,1
51,GCN,2,1
52,GCN,1,1
53,GCN,1,1
54,GCN,2,1
55,GCN,2,1
56,GCN,1,1
57,GCN,3,1
58,GCN,2,1
59,GCN,1,1
60,GCN,0,1
61,GCN,1,1
62,GCN,3,1
63,GCN,3,1
64,GCN,2,1
65,GCN,3,1
66,GCN,3,1
67,GCN,3,1
68,GCN,1,1
69,GCN,2,1
70,GCN,4,1
71,GCN,2,1
72,GCN,2,2
73,GCN,2,1
74,GCN,2,1
75,GCN,1,1
76,GCN,2,1
77,GCN,3,1
78,GCN,1,1
79,GCN,2,1
80,GCN,2,1
81,GCN,3,1
82,GCN,2,1
83,GCN,1,1
84,GCN,1,1
85,GCN,1,1
86,GCN,0,1
87,GCN,1,1
88,GCN,2,1
89,GCN,2,1
90,GCN,3,1
91,GCN,1,1
92,GCN,2,1
93,GCN,3,1
94,GCN,0,1
95,GCN,2,1
96,GCN,2,1
97,GCN,0,1
98,GCN,2,1
99,GCN,2,1
100,GCN,1,1
101,GCN,2,1
102,GCN,0,1
103,GCN,1,2
104,GCN,1,1
105,GCN,2,1
106,GCN,3,1
107,GCN,3,1
108,GCN,3,1
109,GCN,2,2
110,GCN,1,1
111,GCN,3,1
112,GCN,0,1
113,GCN,2,2
114,GCN,1,1
115,GCN,1,2
116,GCN,1,1
117,GCN,0,1
118,GCN,1,1
119,GCN,5,1
120,GCN,2,2
121,GCN,1,1
122,GCN,3,1
123,GCN,1,1
124,GCN,1,1
125,GCN,2,1
126,GCN,3,1
127,GCN,2,1
128,GCN,3,1
129,GCN,1,1
130,GCN,1,1
131,GCN,4,1
132,GCN,3,1
133,GCN,1,1
134,GCN,3,2
135,GCN,1,1
136,GCN,2,1
137,GCN,3,1
138,GCN,3,1
139,GCN,3,1
140,GCN,2,1
141,GCN,1,1
142,GCN,3,1
143,GCN,2,1
144,GCN,1,1
145,GCN,2,1
146,GCN,1,1
147,GCN,3,1
148,GCN,1,1
149,GCN,1,1
150,GCN,3,1
151,GCN,1,1
152,GCN,4,1
153,GCN,3,1
154,GCN,0,1
155,GCN,2,2
156,GCN,2,1
157,GCN,2,1
158,GCN,1,1
159,GCN,3,1
160,GCN,1,1
161,GCN,2,1
162,GCN,1,1
163,GCN,2,1
164,GCN,1,1
165,GCN,1,1
166,GCN,2,1
167,GCN,2,1
168,GCN,1,1
169,GCN,0,1
170,GCN,3,1
171,GCN,2,1
172,GCN,1,1
173,GCN,3,1
174,GCN,2,1
175,GCN,2,1
176,GCN,1,1
177,GCN,3,1
178,GCN,2,1
179,GCN,2,1
180,GCN,2,1
181,GCN,2,1
182,GCN,3,1
183,GCN,2,1
184,GCN,3,1
185,GCN,2,1
186,GCN,1,1
187,GCN,3,1
188,GCN,2,1
189,GCN,3,1
190,GCN,3,1
191,GCN,0,1
192,GCN,3,1
193,GCN,2,1
194,GCN,2,1
195,GCN,2,1
196,GCN,1,1
197,GCN,0,1
198,GCN,1,1
199,GCN,3,1
200,GCN,3,1
201,GCN,2,1
202,GCN,1,1
203,GCN,1,1
204,GCN,2,1
205,GCN,1,1
206,GCN,0,1
207,GCN,2,1
208,GCN,2,1
209,GCN,2,1
210,GCN,1,1
211,GCN,2,1
212,GCN,2,1
213,GCN,2,1
214,GCN,3,1
215,GCN,3,1
216,GCN,2,1
217,GCN,0,1
218,GCN,1,1
219,GCN,2,1
220,GCN,2,1
221,GCN,1,1
222,GCN,0,1
223,GCN,0,1
224,GCN,0,1
225,GCN,3,1
226,GCN,3,1
227,GCN,2,1
228,GCN,0,1
229,GCN,2,1
230,GCN,2,1
231,GCN,0,1
232,GCN,1,1
233,GCN,1,1
234,GCN,4,1
235,GCN,2,2
236,GCN,1,1
237,GCN,3,1
238,GCN,2,1
239,GCN,2,1
240,GCN,2,1
241,GCN,1,1
242,GCN,0,1
243,GCN,1,1
244,GCN,2,1
245,GCN,2,1
246,GCN,2,1
247,GCN,2,1
248,GCN,0,1
249,GCN,3,1
250,GCN,1,2
251,GCN,2,1
252,GCN,3,1
253,GCN,3,1
254,GCN,1,1
255,GCN,0,1
256,GCN,2,1
257,GCN,2,1
258,GCN,2,1
259,GCN,2,1
260,GCN,1,1
261,GCN,2,1
262,GCN,1,1
263,GCN,1,1
264,GCN,4,1
265,GCN,3,1
266,GCN,2,1
267,GCN,2,1
268,GCN,3,1
269,GCN,3,2
270,GCN,1,1
271,GCN,1,1
272,GCN,0,1
273,GCN,1,1
274,GCN,3,1
275,GCN,3,1
276,GCN,2,1
277,GCN,1,1
278,GCN,2,1
279,GCN,2,1
280,GCN,2,1
281,GCN,2,1
282,GCN,0,1
283,GCN,1,1
284,GCN,2,1
285,GCN,2,2
286,GCN,1,1
287,GCN,2,1
288,GCN,3,1
289,GCN,0,1
290,GCN,3,1
291,GCN,2,1
292,GCN,4,1
293,GCN,2,1
294,GCN,3,2
295,GCN,2,2
296,GCN,4,2
297,GCN,2,2
298,GCN,2,2
299,GCN,2,2
300,GCN,2,2
301,GCN,2,2
302,GCN,2,2
303,GCN,1,2
304,GCN,2,2
305,GCN,2,2
306,GCN,1,2
307,GCN,2,2
308,GCN,1,2
309,GCN,2,2
310,GCN,2,2
311,GCN,0,2
312,GCN,4,2
313,GCN,2,2
314,GCN,1,2
315,GCN,2,2
316,GCN,2,2
317,GCN,3,2
318,GCN,2,2
319,GCN,1,2
320,GCN,4,2
321,GCN,1,2
322,GCN,1,2
323,GCN,3,2
324,GCN,2,2
325,GCN,2,2
326,GCN,1,2
327,GCN,3,2
328,GCN,0,2
329,GCN,4,2
330,GCN,2,2
331,GCN,3,2
332,GCN,3,2
333,GCN,1,2
334,GCN,1,2
335,GCN,1,2
336,GCN,2,2
337,GCN,1,2
338,GCN,0,2
339,GCN,2,2
340,GCN,0,2
341,GCN,2,2
342,GCN,1,2
343,GCN,3,2
344,GCN,2,2
345,GCN,1,2
346,GCN,2,2
347,GCN,2,2
348,GCN,1,2
349,GCN,2,2
350,GCN,2,2
351,GCN,2,2
352,GCN,2,2
353,GCN,2,2
354,GCN,1,2
355,GCN,0,2
356,GCN,0,2
357,GCN,2,2
358,GCN,4,2
359,GCN,0,2
360,GCN,3,2
361,GCN,3,2
362,GCN,1,2
363,GCN,4,2
364,GCN,2,2
365,GCN,2,2
