,name,y_true,y_pred
0,GCN,3,2
1,GCN,4,2
2,GCN,1,2
3,GCN,1,2
4,GCN,1,3
5,GCN,1,3
6,GCN,5,2
7,GCN,2,2
8,GCN,1,1
9,GCN,3,2
10,GCN,1,1
11,GCN,2,2
12,GCN,2,2
13,GCN,2,2
14,GCN,2,2
15,GCN,5,2
16,GCN,4,1
17,GCN,1,1
18,GCN,2,1
19,GCN,2,2
20,GCN,1,1
21,GCN,1,2
22,GCN,2,2
23,GCN,1,2
24,GCN,1,2
25,GCN,3,2
26,GCN,1,2
27,GCN,4,1
28,GCN,2,1
29,GCN,3,1
30,GCN,2,2
31,GCN,4,1
32,GCN,2,2
33,GCN,2,2
34,GCN,4,3
35,GCN,1,2
36,GCN,1,2
37,GCN,2,2
38,GCN,4,1
39,GCN,5,2
40,GCN,1,2
41,GCN,1,1
42,GCN,4,2
43,GCN,3,1
44,GCN,1,2
45,GCN,4,1
46,GCN,4,3
47,GCN,1,2
48,GCN,1,2
49,GCN,2,1
50,GCN,4,1
51,GCN,2,2
52,GCN,3,1
53,GCN,1,1
54,GCN,1,1
55,GCN,2,1
56,GCN,1,1
57,GCN,2,2
58,GCN,1,1
59,GCN,2,2
60,GCN,2,1
61,GCN,2,2
62,GCN,1,1
63,GCN,1,2
64,GCN,4,2
65,GCN,1,2
66,GCN,3,2
67,GCN,4,3
68,GCN,3,3
69,GCN,3,3
70,GCN,4,1
71,GCN,3,3
72,GCN,1,1
73,GCN,2,2
74,GCN,1,1
75,GCN,4,3
76,GCN,2,2
77,GCN,1,2
78,GCN,2,2
79,GCN,1,1
80,GCN,1,2
81,GCN,1,1
82,GCN,3,2
83,GCN,3,3
84,GCN,2,1
85,GCN,1,1
86,GCN,2,2
87,GCN,5,2
88,GCN,5,2
89,GCN,2,2
90,GCN,1,2
91,GCN,1,2
92,GCN,2,1
93,GCN,3,1
94,GCN,2,2
95,GCN,3,2
96,GCN,1,2
97,GCN,1,2
98,GCN,2,2
99,GCN,1,2
100,GCN,2,1
101,GCN,2,2
102,GCN,1,1
103,GCN,2,2
104,GCN,1,1
105,GCN,1,2
106,GCN,5,2
107,GCN,1,2
108,GCN,1,1
109,GCN,2,1
110,GCN,2,2
111,GCN,3,1
112,GCN,1,1
113,GCN,3,3
114,GCN,2,1
115,GCN,5,2
116,GCN,1,2
117,GCN,2,1
118,GCN,6,2
119,GCN,3,3
120,GCN,2,2
121,GCN,6,3
122,GCN,2,2
123,GCN,3,2
124,GCN,2,2
125,GCN,2,2
126,GCN,1,1
127,GCN,4,1
128,GCN,3,1
129,GCN,1,2
130,GCN,2,2
131,GCN,4,2
132,GCN,3,2
133,GCN,1,1
134,GCN,2,2
135,GCN,2,2
136,GCN,3,2
137,GCN,2,2
138,GCN,2,2
139,GCN,2,2
140,GCN,2,2
141,GCN,2,2
142,GCN,1,2
143,GCN,3,2
144,GCN,2,2
145,GCN,2,1
146,GCN,2,2
147,GCN,1,2
148,GCN,3,2
149,GCN,3,3
150,GCN,3,1
151,GCN,3,3
152,GCN,3,2
153,GCN,1,1
154,GCN,2,1
155,GCN,1,1
156,GCN,1,1
157,GCN,2,2
158,GCN,2,2
159,GCN,3,2
160,GCN,2,2
161,GCN,3,2
162,GCN,1,2
163,GCN,1,3
164,GCN,1,2
165,GCN,1,2
166,GCN,2,2
167,GCN,3,1
168,GCN,2,2
169,GCN,1,2
170,GCN,2,2
171,GCN,2,2
172,GCN,2,2
173,GCN,5,2
174,GCN,2,1
175,GCN,5,2
176,GCN,2,2
177,GCN,2,2
178,GCN,2,1
179,GCN,2,1
180,GCN,2,2
181,GCN,1,2
182,GCN,1,2
183,GCN,2,3
184,GCN,1,1
185,GCN,2,1
186,GCN,3,2
187,GCN,3,1
188,GCN,1,1
189,GCN,2,2
190,GCN,1,2
191,GCN,2,3
192,GCN,3,1
193,GCN,2,2
194,GCN,3,3
195,GCN,5,2
196,GCN,1,2
197,GCN,2,2
198,GCN,2,1
199,GCN,2,1
200,GCN,3,2
201,GCN,4,3
202,GCN,1,2
203,GCN,1,3
204,GCN,5,2
205,GCN,1,1
206,GCN,3,2
207,GCN,2,1
208,GCN,1,2
209,GCN,1,1
210,GCN,2,3
211,GCN,2,2
212,GCN,1,2
213,GCN,1,2
214,GCN,2,1
215,GCN,1,1
216,GCN,1,1
217,GCN,5,2
218,GCN,2,2
219,GCN,1,1
220,GCN,4,3
221,GCN,3,3
222,GCN,5,2
223,GCN,5,2
224,GCN,5,2
225,GCN,1,1
226,GCN,2,1
227,GCN,2,2
228,GCN,1,1
229,GCN,2,2
230,GCN,4,2
231,GCN,2,1
232,GCN,5,2
233,GCN,3,2
234,GCN,1,3
235,GCN,3,1
236,GCN,5,2
237,GCN,1,2
238,GCN,4,3
239,GCN,1,1
240,GCN,1,2
241,GCN,1,2
242,GCN,2,3
243,GCN,2,1
244,GCN,1,2
245,GCN,3,2
246,GCN,2,2
247,GCN,1,2
248,GCN,1,2
249,GCN,1,1
250,GCN,1,1
251,GCN,1,1
252,GCN,3,1
253,GCN,3,2
254,GCN,1,1
255,GCN,1,1
256,GCN,2,2
257,GCN,3,1
258,GCN,3,1
259,GCN,1,2
260,GCN,2,1
261,GCN,3,1
262,GCN,2,2
263,GCN,5,2
264,GCN,1,2
265,GCN,3,1
266,GCN,5,2
267,GCN,2,2
268,GCN,1,3
269,GCN,2,2
270,GCN,3,1
271,GCN,5,2
272,GCN,2,2
273,GCN,1,1
274,GCN,2,2
275,GCN,3,2
276,GCN,4,2
277,GCN,3,2
278,GCN,1,2
279,GCN,1,3
280,GCN,3,3
281,GCN,1,3
282,GCN,1,2
283,GCN,1,1
284,GCN,1,1
285,GCN,1,1
286,GCN,2,2
287,GCN,1,3
288,GCN,1,1
289,GCN,1,1
290,GCN,1,2
291,GCN,4,1
292,GCN,3,1
293,GCN,1,1
294,GCN,3,2
295,GCN,4,2
296,GCN,1,2
297,GCN,1,2
298,GCN,1,1
299,GCN,1,3
300,GCN,5,2
301,GCN,2,2
302,GCN,1,2
303,GCN,3,1
304,GCN,1,1
305,GCN,2,2
306,GCN,2,2
307,GCN,2,2
308,GCN,2,1
309,GCN,5,2
310,GCN,4,1
311,GCN,1,1
312,GCN,2,1
313,GCN,2,2
314,GCN,1,1
315,GCN,1,2
316,GCN,2,1
317,GCN,1,2
318,GCN,1,1
319,GCN,3,2
320,GCN,1,2
321,GCN,4,1
322,GCN,2,1
323,GCN,3,1
324,GCN,2,1
325,GCN,4,1
326,GCN,2,1
327,GCN,2,2
328,GCN,4,3
329,GCN,1,1
330,GCN,1,2
331,GCN,2,2
332,GCN,4,1
333,GCN,5,2
334,GCN,1,2
335,GCN,1,1
336,GCN,4,2
337,GCN,3,3
338,GCN,1,2
339,GCN,4,1
340,GCN,4,1
341,GCN,1,2
342,GCN,1,2
343,GCN,2,1
344,GCN,4,1
345,GCN,2,2
346,GCN,3,1
347,GCN,1,1
348,GCN,1,1
349,GCN,2,1
350,GCN,1,1
351,GCN,2,2
352,GCN,1,3
353,GCN,2,1
354,GCN,2,1
355,GCN,2,2
356,GCN,1,1
357,GCN,1,1
358,GCN,4,2
359,GCN,1,1
360,GCN,3,2
361,GCN,4,3
362,GCN,3,3
363,GCN,3,3
364,GCN,4,1
365,GCN,3,3
366,GCN,1,1
367,GCN,2,2
368,GCN,1,1
369,GCN,4,1
370,GCN,2,2
371,GCN,1,2
372,GCN,2,2
373,GCN,1,1
374,GCN,1,2
375,GCN,1,1
376,GCN,3,2
377,GCN,3,3
378,GCN,2,2
379,GCN,1,3
380,GCN,2,2
381,GCN,5,2
382,GCN,5,1
383,GCN,2,2
384,GCN,1,1
385,GCN,1,2
386,GCN,2,1
387,GCN,3,1
388,GCN,2,2
389,GCN,3,2
390,GCN,1,2
391,GCN,1,2
392,GCN,2,2
393,GCN,1,1
394,GCN,2,1
395,GCN,2,2
396,GCN,1,1
397,GCN,2,2
398,GCN,1,3
399,GCN,1,2
400,GCN,5,2
401,GCN,1,1
402,GCN,1,1
403,GCN,2,3
404,GCN,2,2
405,GCN,3,1
406,GCN,1,1
407,GCN,3,3
408,GCN,2,1
409,GCN,5,2
410,GCN,1,1
411,GCN,2,1
412,GCN,6,1
413,GCN,3,3
414,GCN,2,2
415,GCN,6,3
416,GCN,2,2
417,GCN,3,2
418,GCN,2,2
419,GCN,2,2
420,GCN,1,1
421,GCN,4,1
422,GCN,3,1
423,GCN,1,1
424,GCN,2,2
425,GCN,4,2
426,GCN,3,2
427,GCN,1,1
428,GCN,2,2
429,GCN,2,2
430,GCN,3,2
431,GCN,2,2
432,GCN,2,2
433,GCN,2,2
434,GCN,2,1
435,GCN,2,2
