,name,y_true,y_pred
0,MLP,2,1
1,MLP,3,2
2,MLP,1,2
3,MLP,0,2
4,MLP,3,3
5,MLP,2,2
6,MLP,1,2
7,MLP,0,0
8,MLP,2,1
9,MLP,1,1
10,MLP,2,2
11,MLP,2,2
12,MLP,1,1
13,MLP,4,3
14,MLP,3,4
15,MLP,2,3
16,MLP,1,1
17,MLP,1,2
18,MLP,2,2
19,MLP,0,1
20,MLP,1,2
21,MLP,1,2
22,MLP,0,1
23,MLP,0,1
24,MLP,0,2
25,MLP,1,1
26,MLP,3,1
27,MLP,1,1
28,MLP,1,1
29,MLP,2,3
30,MLP,0,2
31,MLP,2,2
32,MLP,2,1
33,MLP,3,1
34,MLP,2,3
35,MLP,1,1
36,MLP,2,2
37,MLP,2,1
38,MLP,1,1
39,MLP,1,1
40,MLP,1,1
41,MLP,2,2
42,MLP,1,1
43,MLP,0,1
44,MLP,2,1
45,MLP,3,0
46,MLP,3,2
47,MLP,2,3
48,MLP,2,1
49,MLP,1,2
50,MLP,0,1
51,MLP,3,2
52,MLP,1,1
53,MLP,0,3
54,MLP,2,1
55,MLP,2,1
56,MLP,2,2
57,MLP,1,1
58,MLP,2,2
59,MLP,3,1
60,MLP,0,2
61,MLP,1,2
62,MLP,2,2
63,MLP,2,2
64,MLP,1,2
65,MLP,2,1
66,MLP,2,1
67,MLP,3,3
68,MLP,1,1
69,MLP,3,2
70,MLP,2,2
71,MLP,2,2
72,MLP,2,1
73,MLP,3,1
74,MLP,0,1
75,MLP,0,3
76,MLP,3,3
77,MLP,2,2
78,MLP,2,2
79,MLP,1,3
80,MLP,0,1
81,MLP,2,1
82,MLP,2,1
83,MLP,2,2
84,MLP,1,2
85,MLP,1,2
86,MLP,2,3
87,MLP,2,2
88,MLP,2,2
89,MLP,0,1
90,MLP,0,1
91,MLP,1,1
92,MLP,1,2
93,MLP,1,1
94,MLP,2,2
95,MLP,1,1
96,MLP,1,0
97,MLP,2,1
98,MLP,0,1
99,MLP,1,1
100,MLP,3,1
101,MLP,2,1
102,MLP,2,1
103,MLP,2,1
104,MLP,2,1
105,MLP,2,1
106,MLP,1,2
107,MLP,1,1
108,MLP,4,1
109,MLP,4,1
110,MLP,2,1
111,MLP,1,1
112,MLP,2,1
113,MLP,3,0
114,MLP,2,1
115,MLP,2,2
116,MLP,0,2
117,MLP,4,2
118,MLP,3,2
119,MLP,3,2
120,MLP,1,1
121,MLP,2,1
122,MLP,1,2
123,MLP,3,2
124,MLP,2,3
125,MLP,2,2
126,MLP,3,3
127,MLP,2,2
128,MLP,2,2
129,MLP,1,1
130,MLP,1,2
131,MLP,3,2
132,MLP,1,3
133,MLP,3,4
134,MLP,2,2
135,MLP,1,1
136,MLP,1,1
137,MLP,0,1
138,MLP,2,2
139,MLP,3,1
140,MLP,3,2
141,MLP,1,1
142,MLP,1,3
143,MLP,1,1
144,MLP,1,1
145,MLP,1,1
146,MLP,3,3
147,MLP,1,2
148,MLP,2,2
149,MLP,1,1
150,MLP,3,2
151,MLP,2,2
152,MLP,4,2
153,MLP,3,2
154,MLP,4,2
155,MLP,3,2
156,MLP,1,2
157,MLP,1,2
158,MLP,2,1
159,MLP,1,1
160,MLP,2,1
161,MLP,3,1
162,MLP,2,2
163,MLP,3,2
164,MLP,1,2
165,MLP,3,3
166,MLP,1,2
167,MLP,2,3
168,MLP,0,1
169,MLP,2,2
170,MLP,1,1
171,MLP,2,2
172,MLP,2,2
173,MLP,2,1
174,MLP,1,1
175,MLP,0,2
176,MLP,2,3
177,MLP,2,1
178,MLP,4,2
179,MLP,1,3
180,MLP,1,2
181,MLP,1,1
182,MLP,1,1
183,MLP,2,2
184,MLP,1,0
185,MLP,2,2
186,MLP,3,1
187,MLP,2,1
188,MLP,1,1
189,MLP,0,2
190,MLP,1,2
191,MLP,2,2
192,MLP,2,1
193,MLP,3,2
194,MLP,2,2
195,MLP,2,1
196,MLP,3,1
197,MLP,3,3
198,MLP,1,1
199,MLP,1,2
200,MLP,2,1
201,MLP,3,1
202,MLP,1,0
203,MLP,2,3
204,MLP,3,1
205,MLP,2,2
206,MLP,1,2
