,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
0,MLP,0.1,50.0,64.0,0.1,MLP,0.3826530612244898,0.21486823823484444,,,,,,,,,,,
1,MLP,0.1,50.0,64.0,0.01,MLP,0.3826530612244898,0.2811027568922306,,,,,,,,,,,
2,MLP,0.1,50.0,64.0,0.001,MLP,0.44387755102040816,0.2959128167848996,,,,,,,,,,,
3,MLP,0.1,50.0,128.0,0.1,MLP,0.4030612244897959,0.4042763629064998,,,,,,,,,,,
4,MLP,0.1,50.0,128.0,0.01,MLP,0.34183673469387754,0.25697492163009406,,,,,,,,,,,
5,MLP,0.1,50.0,128.0,0.001,MLP,0.32142857142857145,0.23920184181541118,,,,,,,,,,,
6,MLP,0.1,50.0,256.0,0.1,MLP,0.4387755102040816,0.3203180319091602,,,,,,,,,,,
7,MLP,0.1,50.0,256.0,0.01,MLP,0.3826530612244898,0.26125944140214336,,,,,,,,,,,
8,MLP,0.1,50.0,256.0,0.001,MLP,0.40816326530612246,0.29817797787577527,,,,,,,,,,,
9,MLP,0.1,50.0,512.0,0.1,MLP,0.35714285714285715,0.24438417987907166,,,,,,,,,,,
10,MLP,0.1,50.0,512.0,0.01,MLP,0.3673469387755102,0.2277388167388167,,,,,,,,,,,
11,MLP,0.1,50.0,512.0,0.001,MLP,0.3469387755102041,0.25899988831807014,,,,,,,,,,,
12,MLP,0.1,50.0,1024.0,0.1,MLP,0.40816326530612246,0.261690778357445,,,,,,,,,,,
13,MLP,0.1,50.0,1024.0,0.01,MLP,0.3520408163265306,0.2339219922269492,,,,,,,,,,,
14,MLP,0.1,50.0,1024.0,0.001,MLP,0.37755102040816324,0.1999175255442418,,,,,,,,,,,
15,MLP,0.1,100.0,64.0,0.1,MLP,0.34183673469387754,0.18822136809269163,,,,,,,,,,,
16,MLP,0.1,100.0,64.0,0.01,MLP,0.41836734693877553,0.2448349073367129,,,,,,,,,,,
17,MLP,0.1,100.0,64.0,0.001,MLP,0.34183673469387754,0.17693174684700108,,,,,,,,,,,
18,MLP,0.1,100.0,128.0,0.1,MLP,0.34183673469387754,0.19884992022396605,,,,,,,,,,,
19,MLP,0.1,100.0,128.0,0.01,MLP,0.37244897959183676,0.2474127772469108,,,,,,,,,,,
20,MLP,0.1,100.0,128.0,0.001,MLP,0.33163265306122447,0.23554273120915462,,,,,,,,,,,
21,MLP,0.1,100.0,256.0,0.1,MLP,0.32142857142857145,0.23468394297290066,,,,,,,,,,,
22,MLP,0.1,100.0,256.0,0.01,MLP,0.37244897959183676,0.2693425201819481,,,,,,,,,,,
23,MLP,0.1,100.0,256.0,0.001,MLP,0.37244897959183676,0.2459138625360632,,,,,,,,,,,
24,MLP,0.1,100.0,512.0,0.1,MLP,0.35714285714285715,0.24503385626173238,,,,,,,,,,,
25,MLP,0.1,100.0,512.0,0.01,MLP,0.3826530612244898,0.23733564526824655,,,,,,,,,,,
26,MLP,0.1,100.0,512.0,0.001,MLP,0.37755102040816324,0.23355312275532994,,,,,,,,,,,
27,MLP,0.1,100.0,1024.0,0.1,MLP,0.39285714285714285,0.21530601041470607,,,,,,,,,,,
28,MLP,0.1,100.0,1024.0,0.01,MLP,0.34183673469387754,0.22409344360218242,,,,,,,,,,,
29,MLP,0.1,100.0,1024.0,0.001,MLP,0.3979591836734694,0.2766586877175113,,,,,,,,,,,
30,MLP,0.1,200.0,64.0,0.1,MLP,0.35714285714285715,0.190820379694028,,,,,,,,,,,
31,MLP,0.1,200.0,64.0,0.01,MLP,0.37755102040816324,0.25476922012869724,,,,,,,,,,,
32,MLP,0.1,200.0,64.0,0.001,MLP,0.44387755102040816,0.3115569950643058,,,,,,,,,,,
33,MLP,0.1,200.0,128.0,0.1,MLP,0.37244897959183676,0.22407332886206124,,,,,,,,,,,
34,MLP,0.1,200.0,128.0,0.01,MLP,0.3469387755102041,0.17819755608236065,,,,,,,,,,,
35,MLP,0.1,200.0,128.0,0.001,MLP,0.33163265306122447,0.21242422690288787,,,,,,,,,,,
36,MLP,0.1,200.0,256.0,0.1,MLP,0.3469387755102041,0.19417596807382928,,,,,,,,,,,
37,MLP,0.1,200.0,256.0,0.01,MLP,0.3163265306122449,0.19434238385247846,,,,,,,,,,,
38,MLP,0.1,200.0,256.0,0.001,MLP,0.35714285714285715,0.274518959301568,,,,,,,,,,,
39,MLP,0.1,200.0,512.0,0.1,MLP,0.42857142857142855,0.3245657562830634,,,,,,,,,,,
40,MLP,0.1,200.0,512.0,0.01,MLP,0.3877551020408163,0.2864419199523564,,,,,,,,,,,
41,MLP,0.1,200.0,512.0,0.001,MLP,0.3673469387755102,0.18723140066682306,,,,,,,,,,,
42,MLP,0.1,200.0,1024.0,0.1,MLP,0.33163265306122447,0.21264111705288177,,,,,,,,,,,
