,model,hidden_size,lr,n_epochs,embed_dim,model_name,Test Accuracy,Test F1
0,GCN,128,0.01,1,16,GCN,0.34183673469387754,0.08491761723700887
1,GCN,128,0.01,1,32,GCN,0.34183673469387754,0.08491761723700887
2,GCN,128,0.01,100,16,GCN,0.35714285714285715,0.18082791545421006
3,GCN,128,0.01,100,32,GCN,0.3520408163265306,0.16306986948001526
4,GCN,128,0.01,200,16,GCN,0.3469387755102041,0.16057469204035094
5,GCN,128,0.01,200,32,GCN,0.4030612244897959,0.19977612602357275
6,GCN,128,0.005,1,16,GCN,0.34183673469387754,0.08491761723700887
7,GCN,128,0.005,1,32,GCN,0.34183673469387754,0.08491761723700887
8,GCN,128,0.005,100,16,GCN,0.3673469387755102,0.18169406857752557
9,GCN,128,0.005,100,32,GCN,0.3877551020408163,0.16929258371769831
10,GCN,128,0.005,200,16,GCN,0.37755102040816324,0.18722531519815874
11,GCN,128,0.005,200,32,GCN,0.3979591836734694,0.2039590603830024
12,GCN,128,0.001,1,16,GCN,0.34183673469387754,0.08589743589743588
13,GCN,128,0.001,1,32,GCN,0.34183673469387754,0.08491761723700887
14,GCN,128,0.001,100,16,GCN,0.34183673469387754,0.08491761723700887
15,GCN,128,0.001,100,32,GCN,0.35714285714285715,0.12657712657712658
16,GCN,128,0.001,200,16,GCN,0.3877551020408163,0.19183199271077275
17,GCN,128,0.001,200,32,GCN,0.37755102040816324,0.1714445509747523
18,GCN,256,0.01,1,16,GCN,0.34183673469387754,0.08491761723700887
19,GCN,256,0.01,1,32,GCN,0.34183673469387754,0.08491761723700887
20,GCN,256,0.01,100,16,GCN,0.3877551020408163,0.18430513316706218
21,GCN,256,0.01,100,32,GCN,0.37244897959183676,0.1488827720207254
22,GCN,256,0.01,200,16,GCN,0.33163265306122447,0.16878125777423203
23,GCN,256,0.01,200,32,GCN,0.3520408163265306,0.17338998042758205
24,GCN,256,0.005,1,16,GCN,0.3010204081632653,0.11260046531302877
25,GCN,256,0.005,1,32,GCN,0.34183673469387754,0.08491761723700887
26,GCN,256,0.005,100,16,GCN,0.40816326530612246,0.19843471994710585
27,GCN,256,0.005,100,32,GCN,0.3673469387755102,0.1479150579150579
28,GCN,256,0.005,200,16,GCN,0.3469387755102041,0.19391126381748716
29,GCN,256,0.005,200,32,GCN,0.37244897959183676,0.18951690975113225
