,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
0,MLP,0.005,100.0,128.0,0.005,MLP,0.413265306122449,0.28999732905982906,,,,,,,,,,,
1,MLP,0.005,100.0,128.0,0.001,MLP,0.42346938775510207,0.30087057675710155,,,,,,,,,,,
2,MLP,0.005,100.0,128.0,0.0005,MLP,0.35714285714285715,0.27129281867957833,,,,,,,,,,,
3,MLP,0.005,100.0,192.0,0.005,MLP,0.4030612244897959,0.28085340106664675,,,,,,,,,,,
4,MLP,0.005,100.0,192.0,0.001,MLP,0.3826530612244898,0.27392978324527834,,,,,,,,,,,
5,MLP,0.005,100.0,192.0,0.0005,MLP,0.336734693877551,0.24117038633785448,,,,,,,,,,,
6,MLP,0.005,100.0,256.0,0.005,MLP,0.35714285714285715,0.2033859840232389,,,,,,,,,,,
7,MLP,0.005,100.0,256.0,0.001,MLP,0.35714285714285715,0.2193357823279083,,,,,,,,,,,
8,MLP,0.005,100.0,256.0,0.0005,MLP,0.34183673469387754,0.224591769863509,,,,,,,,,,,
9,MLP,0.005,100.0,384.0,0.005,MLP,0.35714285714285715,0.26915800803079853,,,,,,,,,,,
10,MLP,0.005,100.0,384.0,0.001,MLP,0.3469387755102041,0.23183997509339974,,,,,,,,,,,
11,MLP,0.005,100.0,384.0,0.0005,MLP,0.39285714285714285,0.2353089838037762,,,,,,,,,,,
12,MLP,0.005,100.0,512.0,0.005,MLP,0.3826530612244898,0.22675444136424172,,,,,,,,,,,
13,MLP,0.005,100.0,512.0,0.001,MLP,0.3469387755102041,0.2372579713197195,,,,,,,,,,,
14,MLP,0.005,100.0,512.0,0.0005,MLP,0.3520408163265306,0.22216600234369843,,,,,,,,,,,
15,MLP,0.005,200.0,128.0,0.005,MLP,0.3979591836734694,0.2840810635331183,,,,,,,,,,,
16,MLP,0.005,200.0,128.0,0.001,MLP,0.3826530612244898,0.23134393419124333,,,,,,,,,,,
17,MLP,0.005,200.0,128.0,0.0005,MLP,0.3826530612244898,0.27998787524602164,,,,,,,,,,,
