,model,lr,n_epochs,hidden_size,weight_decay,batch_size,activation,dropout,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,n_estimators,bootstrap,C,penalty,solver,max_iter,fit_intercept,tol
0,MLP,0.005,100.0,128.0,0.005,32.0,relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
1,MLP,0.005,100.0,128.0,0.005,32.0,relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
2,MLP,0.005,100.0,128.0,0.005,32.0,relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
3,MLP,0.005,100.0,128.0,0.005,32.0,leaky_relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
4,MLP,0.005,100.0,128.0,0.005,32.0,leaky_relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
5,MLP,0.005,100.0,128.0,0.005,32.0,leaky_relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
6,MLP,0.005,100.0,128.0,0.005,64.0,relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
7,MLP,0.005,100.0,128.0,0.005,64.0,relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
8,MLP,0.005,100.0,128.0,0.005,64.0,relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
9,MLP,0.005,100.0,128.0,0.005,64.0,leaky_relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
10,MLP,0.005,100.0,128.0,0.005,64.0,leaky_relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
11,MLP,0.005,100.0,128.0,0.005,64.0,leaky_relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
12,MLP,0.005,100.0,128.0,0.005,128.0,relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
13,MLP,0.005,100.0,128.0,0.005,128.0,relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
14,MLP,0.005,100.0,128.0,0.005,128.0,relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
15,MLP,0.005,100.0,128.0,0.005,128.0,leaky_relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
16,MLP,0.005,100.0,128.0,0.005,128.0,leaky_relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
17,MLP,0.005,100.0,128.0,0.005,128.0,leaky_relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
18,MLP,0.005,100.0,128.0,0.001,32.0,relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
19,MLP,0.005,100.0,128.0,0.001,32.0,relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
20,MLP,0.005,100.0,128.0,0.001,32.0,relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
21,MLP,0.005,100.0,128.0,0.001,32.0,leaky_relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
22,MLP,0.005,100.0,128.0,0.001,32.0,leaky_relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
23,MLP,0.005,100.0,128.0,0.001,32.0,leaky_relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
24,MLP,0.005,100.0,128.0,0.001,64.0,relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
25,MLP,0.005,100.0,128.0,0.001,64.0,relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
26,MLP,0.005,100.0,128.0,0.001,64.0,relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
27,MLP,0.005,100.0,128.0,0.001,64.0,leaky_relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
28,MLP,0.005,100.0,128.0,0.001,64.0,leaky_relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
29,MLP,0.005,100.0,128.0,0.001,64.0,leaky_relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
30,MLP,0.005,100.0,128.0,0.001,128.0,relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
31,MLP,0.005,100.0,128.0,0.001,128.0,relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
32,MLP,0.005,100.0,128.0,0.001,128.0,relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
33,MLP,0.005,100.0,128.0,0.001,128.0,leaky_relu,0.0,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
34,MLP,0.005,100.0,128.0,0.001,128.0,leaky_relu,0.2,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
35,MLP,0.005,100.0,128.0,0.001,128.0,leaky_relu,0.4,MLP,0.42857142857142855,0.2166967044646196,,,,,,,,,,,,,,
36,MLP,0.005,100.0,128.0,0.0005,32.0,relu,0.0,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
37,MLP,0.005,100.0,128.0,0.0005,32.0,relu,0.2,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
38,MLP,0.005,100.0,128.0,0.0005,32.0,relu,0.4,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
39,MLP,0.005,100.0,128.0,0.0005,32.0,leaky_relu,0.0,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
40,MLP,0.005,100.0,128.0,0.0005,32.0,leaky_relu,0.2,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
41,MLP,0.005,100.0,128.0,0.0005,32.0,leaky_relu,0.4,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
42,MLP,0.005,100.0,128.0,0.0005,64.0,relu,0.0,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
43,MLP,0.005,100.0,128.0,0.0005,64.0,relu,0.2,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
44,MLP,0.005,100.0,128.0,0.0005,64.0,relu,0.4,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
45,MLP,0.005,100.0,128.0,0.0005,64.0,leaky_relu,0.0,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
46,MLP,0.005,100.0,128.0,0.0005,64.0,leaky_relu,0.2,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
47,MLP,0.005,100.0,128.0,0.0005,64.0,leaky_relu,0.4,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
48,MLP,0.005,100.0,128.0,0.0005,128.0,relu,0.0,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
49,MLP,0.005,100.0,128.0,0.0005,128.0,relu,0.2,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
50,MLP,0.005,100.0,128.0,0.0005,128.0,relu,0.4,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
51,MLP,0.005,100.0,128.0,0.0005,128.0,leaky_relu,0.0,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
52,MLP,0.005,100.0,128.0,0.0005,128.0,leaky_relu,0.2,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
53,MLP,0.005,100.0,128.0,0.0005,128.0,leaky_relu,0.4,MLP,0.42857142857142855,0.21435173113139216,,,,,,,,,,,,,,
54,MLP,0.005,100.0,192.0,0.005,32.0,relu,0.0,MLP,0.413265306122449,0.21075917949402875,,,,,,,,,,,,,,
55,MLP,0.005,100.0,192.0,0.005,32.0,relu,0.2,MLP,0.413265306122449,0.21075917949402875,,,,,,,,,,,,,,
56,MLP,0.005,100.0,192.0,0.005,32.0,relu,0.4,MLP,0.413265306122449,0.21075917949402875,,,,,,,,,,,,,,
